step,time_fs,temperature_K,kinetic_eV,potential_eV,total_eV,pressure_GPa,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg
250,250.0,203.7782556539887,26.12964522234335,-996520.2384693205,-996494.1088240981,-1.2871551449971061,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
260,260.0,199.7468120154246,25.61270983259098,-996519.784103666,-996494.1713938334,-1.124251439358497,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
270,270.0,196.7028466103512,25.222394703783966,-996519.36785551,-996494.1454608062,-0.8646617501886412,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
280,280.0,203.85684684629067,26.139722646776395,-996520.2922827185,-996494.1525600717,-0.958345267038819,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
290,290.0,199.8177510903068,25.621806057569078,-996519.776789087,-996494.1549830295,-0.7380394333171975,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
300,300.0,201.3121401570051,25.813425403861242,-996520.0259826521,-996494.2125572482,-0.5201806123985713,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
310,310.0,201.89350565558132,25.88797150385388,-996520.1271874764,-996494.2392159725,-0.9914271837501663,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
320,320.0,198.86755835958587,25.49996676285676,-996519.7785570412,-996494.2785902784,-0.6666147924018336,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
330,330.0,200.28324507139192,25.68149443079543,-996519.9909857401,-996494.3094913093,-0.3508531223638048,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
340,340.0,199.44135241313762,25.57354200768296,-996519.8839381261,-996494.3103961184,-0.623820885398264,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
350,350.0,205.52305321229568,26.353373416684086,-996520.6558838141,-996494.3025103974,-0.7685023052329871,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
360,360.0,203.42998060364397,26.08498734912672,-996520.3755528217,-996494.2905654726,-0.7066437997795342,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
370,370.0,195.6504178100268,25.087446099547474,-996519.3833431713,-996494.2958970718,-0.827659520416803,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
380,380.0,203.3027256993951,26.0686699776282,-996520.4276326423,-996494.3589626647,-1.2193318905529054,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
390,390.0,203.00380038244236,26.030340017177394,-996520.4715819575,-996494.4412419404,-0.8811847969882378,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
400,400.0,200.70556161741604,25.73564633961279,-996520.192516182,-996494.4568698424,-0.6886328443569183,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
410,410.0,206.04277027793174,26.420014592394836,-996520.9075599259,-996494.4875453336,-0.9322926379087378,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
420,420.0,199.3486713997904,25.561657903611902,-996520.088147258,-996494.5264893544,-0.8344912940903901,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
430,430.0,199.38244242642776,25.565988223066235,-996520.0368250925,-996494.4708368694,-0.6724616649228462,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
440,440.0,201.0764357669305,25.78320200210411,-996520.28298111,-996494.499779108,-0.32206718164048875,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
450,450.0,199.40016470890046,25.5682606782507,-996520.0724669578,-996494.5042062796,-0.36999538563472334,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
460,460.0,201.73480100042167,25.867621460513156,-996520.3819786491,-996494.5143571886,-0.45049749044029574,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
470,470.0,203.46958793447746,26.090066033795807,-996520.5820679853,-996494.4920019516,-0.16395683800751645,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
480,480.0,201.77310037080483,25.872532430808484,-996520.3260225832,-996494.4534901524,-0.4855858346670715,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
490,490.0,199.95751022235393,25.63972679462345,-996520.057619349,-996494.4178925543,-0.8976432521402452,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
500,500.0,196.84062999276435,25.24006209861192,-996519.6307265443,-996494.3906644457,-0.750637377983502,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
510,510.0,190.13929857720575,24.380778011387164,-996518.7696123758,-996494.3888343644,-0.7264949316834567,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
520,520.0,193.05347624436735,24.75445099388194,-996519.1188021251,-996494.3643511313,-1.0809925100133146,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
530,530.0,203.51558609602918,26.095964188328384,-996520.435038294,-996494.3390741056,-0.9015503713062355,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
540,540.0,206.13294340945765,26.43157712112391,-996520.789900909,-996494.3583237878,-0.8392504930404351,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
550,550.0,199.64411814106924,25.599541820651716,-996519.9576167504,-996494.3580749297,-0.8290823801064928,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
560,560.0,197.53382693075716,25.328947882822977,-996519.6659360902,-996494.3369882073,-0.7981930085470932,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
570,570.0,194.27812025204648,24.911482043841747,-996519.2072347073,-996494.2957526635,-0.6555679658149126,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
580,580.0,191.11927413408424,24.506436235055947,-996518.791468913,-996494.2850326779,-0.5913310344298884,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
590,590.0,199.7982424318798,25.61930454276405,-996519.8694079306,-996494.2501033879,-0.4457670180851759,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
600,600.0,200.57641680296953,25.719086632724718,-996519.9511694364,-996494.2320828037,-0.5475825754012149,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
610,610.0,207.8827266481564,26.655944608697435,-996520.9420129464,-996494.2860683376,-0.6524895261815545,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
620,620.0,208.95772261001954,26.79378690697793,-996521.0820452219,-996494.288258315,-0.5269355751038874,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
630,630.0,207.0717480697853,26.551956170540723,-996520.8377475512,-996494.2857913806,-0.6222460702030355,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
640,640.0,201.08549104184462,25.784363122657123,-996520.045348678,-996494.2609855554,-0.6114773507143888,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
650,650.0,200.57591254464947,25.719021973760192,-996519.9543985206,-996494.2353765469,-0.4383567875788988,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
660,660.0,204.0821214691992,26.168608682508257,-996520.3914526316,-996494.2228439491,-0.7688751133570702,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
670,670.0,194.80862466299337,24.979506436348412,-996519.2140373809,-996494.2345309445,-0.825265425049327,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
680,680.0,200.277353359262,25.68073896084986,-996519.9634716017,-996494.2827326409,-0.5806027900110985,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
690,690.0,204.7978003907892,26.260377238747196,-996520.5769741656,-996494.3165969269,-0.892490011670662,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
700,700.0,202.1171413000491,25.916647380140382,-996520.2211229694,-996494.3044755893,-0.8673300479514479,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
710,710.0,205.0641470440554,26.294529771526854,-996520.6376707782,-996494.3431410067,-0.9919614519875639,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
720,720.0,202.41143183105788,25.95438304110615,-996520.308763688,-996494.3543806468,-0.6768981894137608,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
730,730.0,203.3016808803745,26.06853600479463,-996520.4349328615,-996494.3663968567,-0.7257943693515538,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
740,740.0,199.19022808384196,25.541341370720318,-996519.9107223282,-996494.3693809576,-0.7598793980176285,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
750,750.0,196.56926563878926,25.20526616676628,-996519.5649097505,-996494.3596435838,-0.5287402718239095,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
760,760.0,193.19461629594738,24.7725488005523,-996519.1497537902,-996494.3772049897,-0.6113459453562551,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
770,770.0,197.3361979709826,25.30360673644798,-996519.6598062852,-996494.3561995487,-0.23914508564319847,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
780,780.0,206.5597516182654,26.486304977333784,-996520.8685211272,-996494.3822161498,-0.4456112629585447,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
790,790.0,203.24312503966172,26.061027630858412,-996520.4662019495,-996494.4051743187,-0.9652920939340728,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
800,800.0,205.5585229912527,26.357921560141726,-996520.7383760803,-996494.3804545201,-0.6797524326705725,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
810,810.0,201.74855573524513,25.869385173427034,-996520.2650352196,-996494.3956500462,-0.5925258141678305,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
820,820.0,200.51021685092024,25.710598085920584,-996520.0886075376,-996494.3780094517,-0.6104018519118755,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
830,830.0,200.18014655972658,25.66827453388287,-996520.0411062802,-996494.3728317462,-0.8986146767539787,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
840,840.0,198.84367691019548,25.496904543102435,-996519.8913399718,-996494.3944354287,-0.6572041523230211,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
850,850.0,198.98595372118925,25.515148111743763,-996519.9320320617,-996494.41688395,-0.6532714729045527,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
860,860.0,193.1514599109728,24.76701503530907,-996519.1695838656,-996494.4025688303,-0.8847900766060347,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
870,870.0,198.63348882615384,25.469952992023806,-996519.8901236991,-996494.420170707,-0.6927577772429626,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
880,880.0,203.31066915787977,26.069688534546245,-996520.4794878569,-996494.4097993223,-0.8639637573066627,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
890,890.0,206.26612996007808,26.44865508317109,-996520.8692956826,-996494.4206405994,-0.6297292514377096,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
900,900.0,197.1085098688969,25.274411230235824,-996519.671234521,-996494.3968232907,-0.5411563866317675,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
910,910.0,198.5635018876581,25.46097885556738,-996519.7685965248,-996494.3076176692,-0.45966769414566727,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
920,920.0,199.0462311924617,25.522877243265643,-996519.8183716428,-996494.2954943996,-0.2560707344947143,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
930,930.0,202.48413509313795,25.9637054805321,-996520.3159561196,-996494.352250639,-0.6599304116690441,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
940,940.0,195.83404883545654,25.11099234853707,-996519.5014781351,-996494.3904857866,-0.6554986222630417,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
950,950.0,202.61770259147943,25.9808322899343,-996520.3717549175,-996494.3909226276,-0.4995182346154738,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
