step,time_fs,temperature_K,kinetic_eV,potential_eV,total_eV,pressure_GPa,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg
0,0.0,101.24317215131929,12.981994379177147,-996533.9058883969,-996520.9238940177,-0.7273268601654411,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
10,10.0,101.74277969135673,13.046056993363779,-996533.9665650158,-996520.9205080225,-0.8746291022717266,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
20,20.0,101.32141379322115,12.99202698220414,-996533.9041494947,-996520.9121225125,-0.5583148128687927,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
30,30.0,100.97120373075253,12.947120990363981,-996533.8525869987,-996520.9054660083,-0.41420458823610123,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
40,40.0,100.18795035013218,12.846687639959992,-996533.756046523,-996520.909358883,-0.7509521573503053,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
50,50.0,100.6549202958919,12.90656527004883,-996533.8223409877,-996520.9157757177,-0.6940379713512499,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
60,60.0,101.02999926533023,12.954660099255864,-996533.8551149513,-996520.900454852,-0.6063545339115999,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
70,70.0,102.25884863221918,13.1122303850818,-996534.041458884,-996520.929228499,-0.5363331989577567,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
80,80.0,101.24386655718722,12.982083419977458,-996533.9278255793,-996520.9457421594,-0.8551773386896733,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
90,90.0,97.1807056638111,12.461081057460968,-996533.3931001328,-996520.9320190754,-0.7798889989533291,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
100,100.0,100.2927189555959,12.860121686111878,-996533.797577792,-996520.9374561058,-0.48454822089783356,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
110,110.0,100.41677852556045,12.876029333074538,-996533.8290954446,-996520.9530661115,-0.6934688074831342,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
120,120.0,98.23782620158761,12.596631263839488,-996533.5274605657,-996520.9308293018,-0.7241321452780161,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
130,130.0,101.99223849109794,13.078044066341267,-996534.0351428239,-996520.9570987576,-0.7723587413203286,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
140,140.0,100.69502648747424,12.91170792157415,-996533.8574927389,-996520.9457848173,-0.5760404559723928,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
150,150.0,99.16239513737324,12.715184925014697,-996533.6615378123,-996520.9463528873,-0.7050047840486512,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
160,160.0,95.5089228153855,12.246715238213145,-996533.1970768293,-996520.9503615911,-0.8168845101134024,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
170,170.0,99.79360180928491,12.796121953090122,-996533.7607400618,-996520.9646181087,-0.45709020602611583,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
