LAMMPS data file for PMC-010 (2x2x2 supercell)

992 atoms
5 atom types

0.000000 22.088000 xlo xhi
0.000000 16.962000 ylo yhi
0.000000 22.422138 zlo zhi
0.000000 -0.512745 0.000000 xy xz yz

Masses

1 12.0110  # C
2 35.4530  # Cl
3 1.0080  # H
4 14.0070  # N
5 15.9990  # O

Atoms  # atomic

1 2 1.551020 6.423001 9.741074
2 2 9.236608 2.182501 1.469995
3 2 1.358049 0.887367 4.063004
4 2 9.429579 5.127867 7.148066
5 1 6.281744 3.680500 4.818630
6 1 4.505883 7.921000 6.392439
7 1 5.647494 3.599082 6.223713
8 1 5.140133 7.839582 4.987356
9 1 4.141770 3.768108 6.150617
10 1 6.645857 8.008608 5.060452
11 1 3.442580 3.649544 7.512313
12 1 7.345048 7.890044 3.698756
13 1 1.954502 3.444643 7.300200
14 1 8.833125 7.685143 3.910869
15 1 1.067297 2.177327 9.214490
16 1 9.720331 6.417827 1.996579
17 3 7.219210 4.783284 6.917230
18 3 3.568417 0.542784 4.293839
19 3 1.734701 2.578224 6.726641
20 3 9.052927 6.818724 4.484428
21 3 0.848440 3.774045 8.778267
22 3 9.939187 8.014545 2.432802
23 3 2.230459 1.144935 8.228925
24 3 8.557169 5.385435 2.982144
25 3 1.468463 0.313797 9.193077
26 3 9.319165 4.554297 2.017992
27 3 10.752661 2.815692 10.325395
28 3 0.034967 7.056192 0.885674
29 3 0.359764 1.492656 10.829893
30 3 10.427863 5.733156 0.381176
31 3 6.311078 4.333791 7.993492
32 3 4.476549 0.093291 3.217577
33 3 5.757300 5.410878 7.096607
34 3 5.030327 1.170378 4.114462
35 3 5.856164 2.696958 6.636953
36 3 4.931464 6.937458 4.574116
37 3 3.911610 4.681512 5.706434
38 3 6.876017 0.441012 5.504635
39 3 3.836866 3.078603 5.594323
40 3 6.950761 7.319103 5.616746
41 3 3.582185 4.367715 8.038337
42 3 7.205443 0.127215 3.172733
43 3 3.814878 2.849616 8.004703
44 3 6.972749 7.090116 3.206366
45 3 1.544645 4.138728 6.827541
46 3 9.242982 8.379228 4.383528
47 4 6.274905 4.609084 7.121944
48 4 4.512722 0.368584 4.089125
49 4 1.208542 3.304961 8.538687
50 4 9.579086 7.545461 2.672383
51 4 1.787234 1.103972 8.906297
52 4 9.000393 5.344472 2.304772
53 4 0.211911 2.115077 10.225056
54 4 10.575716 6.355577 0.986014
55 5 7.083676 4.590341 4.585664
56 5 3.703952 0.349841 6.625405
57 5 5.906967 2.793557 4.009639
58 5 4.880660 7.034057 7.201430
59 1 3.444774 3.273751 1.765855
60 1 7.342854 7.514251 9.445214
61 1 2.056800 3.871407 1.653184
62 1 8.730827 8.111907 9.557885
63 1 1.391856 5.197072 3.622969
64 1 9.395772 0.956572 7.588100
65 1 5.934179 2.844188 10.247478
66 1 4.853449 7.084688 0.963591
67 1 5.571488 2.759293 0.443846
68 1 5.216140 6.999793 10.767223
69 1 4.114384 3.196234 0.398554
70 1 6.673243 7.436734 10.812516
71 3 7.249539 3.477210 1.244429
72 3 3.538089 7.717710 9.966640
73 3 6.187304 3.375438 2.298269
74 3 4.600324 7.615938 8.912800
75 3 6.089919 4.444044 1.244429
76 3 4.697709 0.203544 9.966640
77 3 5.636582 1.882782 0.784775
