step,time_fs,temperature_K,kinetic_eV,potential_eV,total_eV,pressure_GPa,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg
0,0.0,403.31779943808465,51.715777904525915,-996491.9089069854,-996440.1931290809,-0.562671075208795,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
10,10.0,398.1251435781411,51.04994506114132,-996491.135585015,-996440.085639954,-1.2095191125286848,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
20,20.0,397.7642194717946,51.00366525164566,-996491.0836019448,-996440.0799366932,-0.6149049657213276,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
30,30.0,396.55725010575054,50.8489005480822,-996490.9184834486,-996440.0695829005,-0.6053912611946808,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
40,40.0,397.61561811803347,50.98461071297137,-996491.1045924827,-996440.1199817697,-0.7840942431870216,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
50,50.0,398.01752652571344,51.036145770383904,-996491.2294615794,-996440.193315809,-0.49740155761134147,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
60,60.0,393.9672899729712,50.516800642759385,-996490.7088910708,-996440.1920904281,-0.6596173370872428,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
70,70.0,401.27092882156506,51.453316127855736,-996491.5716435383,-996440.1183274104,-0.8300404207997216,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
80,80.0,401.65767748226926,51.502907313441185,-996491.55648167,-996440.0535743566,-0.6830232802209556,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
90,90.0,396.008244689386,50.77850384795975,-996490.9706110385,-996440.1921071905,-0.6352021519575065,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
100,100.0,394.75592558158036,50.61792413405894,-996490.7179467926,-996440.1000226586,-0.904450152184486,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
110,110.0,392.0593219067073,50.272149767193504,-996490.4347840165,-996440.1626342493,-0.8816440972225904,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
120,120.0,409.7550653581259,52.54120196242032,-996492.7464194349,-996440.2052174725,-0.8365252854904391,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
130,130.0,400.4065396039014,51.34247906371911,-996491.6117719775,-996440.2692929138,-0.6886239799771938,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
140,140.0,396.6300059253717,50.85822972674486,-996491.2049489346,-996440.3467192078,-0.5682795083051367,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
150,150.0,411.1059863190231,52.714424985251604,-996493.0954322249,-996440.3810072397,-0.47071996224489043,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
160,160.0,411.74417290049524,52.79625701834076,-996493.1637567495,-996440.3674997311,-0.4838939658931716,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
170,170.0,410.3649741329556,52.61940804899785,-996493.1619049754,-996440.5424969264,-0.6398827152748894,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
180,180.0,405.9218731665213,52.04968753800718,-996492.7144627599,-996440.6647752218,-0.9688688795643535,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
190,190.0,399.954724714097,51.28454470394714,-996492.0596900681,-996440.7751453642,-0.9686976109879661,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
200,200.0,406.896405331701,52.17464777801013,-996493.0079379185,-996440.8332901405,-0.8772601429055507,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
210,210.0,391.4525470839134,50.19434553435928,-996490.9520245249,-996440.7576789906,-0.8166585897024189,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
220,220.0,388.95362079669707,49.873918523576435,-996490.506462685,-996440.6325441614,-1.0306130835221088,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
230,230.0,394.85806550926685,50.63102111570165,-996491.3165668721,-996440.6855457564,-0.5394974557635042,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
240,240.0,403.73409108622764,51.76915726553816,-996492.4352644862,-996440.6661072207,-0.6977482373766842,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
250,250.0,386.2949680629786,49.53301044936349,-996490.1614586611,-996440.6284482117,-0.9188834373058341,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
260,260.0,392.6607032882616,50.349262421303266,-996490.9077102451,-996440.5584478239,-0.8772942896167911,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
270,270.0,401.1568765124591,51.4386916706772,-996491.9204120692,-996440.4817203985,-0.6040442245668406,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
280,280.0,396.9709038532354,50.901941661973304,-996491.3569347294,-996440.4549930674,-0.6478339580623431,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
290,290.0,396.46466597617706,50.83702886701785,-996491.2258907743,-996440.3888619073,-0.7541890622875179,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
300,300.0,390.5650331819019,50.0805432873284,-996490.4751753889,-996440.3946321015,-0.3410986580797528,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
310,310.0,398.0736077754093,51.04333683772068,-996491.4498017171,-996440.4064648794,-0.6099763928427038,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
320,320.0,402.3683720326159,51.59403674431404,-996491.8700977642,-996440.2760610199,-0.6738529468239737,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
330,330.0,391.5342667350527,50.20482410816546,-996490.3634413579,-996440.1586172497,-0.8402954557492617,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
340,340.0,395.01623200476786,50.65130215304903,-996490.7092494563,-996440.0579473033,-0.6642670944722501,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
350,350.0,403.70361928431504,51.765249992062365,-996491.8841928416,-996440.1189428496,-0.7733724118686297,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
360,360.0,409.02959440493487,52.44817781435722,-996492.5717410867,-996440.1235632723,-1.2239955550342456,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
370,370.0,384.1217883267962,49.25435257525129,-996489.4363723209,-996440.1820197456,-0.7144909024285887,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
380,380.0,391.5984302032705,50.213051525047526,-996490.2643720132,-996440.0513204881,-0.8767304416366741,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
390,390.0,385.78467180706144,49.46757726522608,-996489.353166281,-996439.8855890158,-1.0586878911268025,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
400,400.0,394.6292846493971,50.60168548966602,-996490.529194729,-996439.9275092394,-0.9080940003227671,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
410,410.0,396.23528980376534,50.807616906510376,-996490.7690349122,-996439.9614180058,-0.6264683078824846,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
420,420.0,395.98455891093647,50.775466718283106,-996490.725420287,-996439.9499535688,-0.7566419754536665,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
430,430.0,392.90817662692336,50.380994906795735,-996490.225220934,-996439.8442260273,-0.5868212564463875,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
440,440.0,402.0672488054657,51.55542495490407,-996491.4902266542,-996439.9348016994,-0.4565754229291428,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
450,450.0,396.994382276354,50.904952203331106,-996490.8933005101,-996439.9883483067,-0.7043334143200355,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
460,460.0,395.29428191190004,50.6869553458009,-996490.593567893,-996439.9066125472,-0.9255657832230666,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
470,470.0,395.3040089911672,50.68820260905519,-996490.6596315176,-996439.9714289085,-0.28025253171991066,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
480,480.0,405.96696948310137,52.05547005267877,-996492.0645566816,-996440.0090866289,-0.4324446749622756,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
490,490.0,387.64959180002586,49.706708263908084,-996489.7194190802,-996440.0127108162,-0.36971487992101776,8400.603278116288,22.088,16.962,22.428,90.0,91.30999999999999,90.0
